-0.069;4.132;9.277;-0.294;5.030
-0.071;4.179;9.641;-0.311;5.143
-0.074;4.085;9.504;-0.305;4.696
-0.080;3.969;9.342;-0.297;4.288
-0.085;4.021;9.715;-0.326;3.914
-0.087;3.874;9.514;-0.316;3.695
-0.087;3.762;9.345;-0.312;3.489
-0.086;3.761;9.679;-0.314;3.299
-0.085;3.874;10.487;-0.393;3.570
-0.090;3.849;11.323;-0.374;3.673
-0.095;3.842;11.640;-0.366;3.445
-0.100;3.838;12.430;-0.391;3.234
-0.105;3.803;13.169;-0.399;3.037
-0.111;3.650;13.293;-0.392;3.355
-0.111;3.595;14.065;-0.418;3.514
-0.111;3.488;14.812;-0.454;3.308
-0.110;3.410;15.120;-0.462;3.789
-0.111;3.275;15.832;-0.444;3.997
-0.112;3.040;15.916;-0.472;3.684
-0.110;2.828;16.676;-0.504;3.453
-0.108;2.670;16.954;-0.498;3.261
-0.109;2.459;17.733;-0.518;3.032
-0.111;2.305;18.010;-0.520;2.820
-0.113;2.120;18.267;-0.528;3.279
-0.113;1.969;18.535;-0.532;3.474
-0.111;1.804;18.790;-0.541;3.259
-0.109;1.609;19.043;-0.549;3.059
-0.105;1.401;19.291;-0.553;2.857
-0.101;1.177;19.501;-0.557;2.669
-0.098;1.000;19.766;-0.567;2.443
-0.093;0.649;20.482;-0.592;2.234
-0.090;0.575;20.207;-0.583;2.713
-0.086;0.351;20.415;-0.589;2.916
-0.083;0.109;20.613;-0.591;2.720
-0.080;0.121;20.794;-0.599;2.528
-0.076;0.556;21.466;-0.622;2.348
-0.073;0.803;21.704;-0.636;2.173
-0.069;1.063;21.867;-0.641;2.011
-0.065;1.339;22.027;-0.646;1.889
-0.063;1.816;22.635;-0.669;1.770
-0.061;1.882;22.360;-0.663;1.653
-0.059;2.398;22.920;-0.688;1.541
-0.057;2.693;23.077;-0.692;1.435
-0.057;2.987;23.194;-0.699;1.754
-0.056;3.310;23.297;-0.709;1.829
-0.057;3.619;23.403;-0.710;1.684
-0.057;3.918;23.513;-0.719;1.519
-0.057;4.517;24.056;-0.740;1.356
-0.057;4.568;23.723;-0.734;1.225
-0.058;4.889;23.794;-0.738;1.101
-0.060;5.501;24.310;-0.760;0.982
-0.062;5.850;24.384;-0.767;0.877
-0.064;6.195;24.418;-0.769;0.724
-0.067;6.536;24.491;-0.774;0.583
-0.069;6.883;24.563;-0.781;0.477
-0.072;7.236;24.585;-0.783;0.402
-0.073;7.581;24.662;-0.796;0.307
-0.075;7.948;24.663;-0.792;0.218
-0.077;8.298;24.664;-0.794;0.107
-0.079;8.641;24.668;-0.796;0.026
-0.081;9.006;24.671;-0.796;-0.051
-0.082;9.018;24.300;-0.787;-0.116
-0.082;9.736;24.666;-0.803;-0.181
-0.082;10.099;24.654;-0.803;-0.250
-0.083;10.458;24.632;-0.803;-0.316
-0.083;10.829;24.602;-0.798;-0.375
-0.084;11.166;24.576;-0.798;-0.427
-0.084;11.513;24.524;-0.796;-0.485
-0.084;11.878;24.480;-0.793;-0.540
-0.083;11.854;24.089;-0.785;-0.617
-0.082;12.209;24.036;-0.778;-0.661
-0.080;12.563;23.970;-0.776;-0.698
-0.080;12.920;23.917;-0.773;-0.735
-0.079;13.277;23.852;-0.768;-0.759
-0.078;13.614;23.802;-0.758;-0.808
-0.079;13.953;23.745;-0.755;-0.855
-0.079;14.296;23.630;-0.747;-0.890
-0.078;14.620;23.552;-0.742;-0.926
-0.078;14.561;23.163;-0.728;-0.967
-0.077;15.273;23.391;-0.723;-0.988
-0.077;15.602;23.299;-0.713;-1.025
-0.078;15.918;23.201;-0.702;-1.061
-0.078;16.224;23.114;-0.689;-1.097
-0.078;16.139;22.738;-0.678;-1.089
-0.079;16.438;22.625;-0.666;-1.094
-0.079;16.734;22.557;-0.657;-1.118
-0.079;17.030;22.438;-0.643;-1.086
-0.079;17.314;22.374;-0.631;-1.086
-0.080;17.597;22.261;-0.618;-1.115
-0.080;17.866;22.202;-0.606;-1.117
-0.080;18.128;22.103;-0.593;-1.100
-0.080;18.787;22.296;-0.579;-1.122
-0.080;19.043;22.227;-0.568;-1.150
-0.080;19.295;22.108;-0.552;-1.113
-0.080;19.548;22.033;-0.539;-1.110
-0.081;19.780;21.976;-0.527;-1.111
-0.081;20.012;21.875;-0.511;-1.065
-0.081;20.635;22.089;-0.500;-1.076
-0.080;20.852;21.975;-0.487;-1.093
-0.080;21.066;21.920;-0.476;-1.068
-0.079;21.682;22.142;-0.462;-1.087
-0.079;21.880;22.029;-0.449;-1.111
-0.079;22.084;21.946;-0.437;-1.132
-0.078;22.270;21.854;-0.425;-1.121
-0.078;22.858;22.083;-0.411;-1.150
-0.077;23.022;21.991;-0.400;-1.173
-0.075;23.199;21.918;-0.386;-1.156
-0.075;23.527;21.747;-0.362;-1.212
-0.072;23.679;21.657;-0.347;-1.236
-0.072;23.817;21.579;-0.333;-1.244
-0.071;24.375;21.791;-0.324;-1.276
